"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"505","Bezirk March","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5778,12202,32.13570634,63.444225629,18041,28436,17980
"506","Bezirk Schwyz","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6814,20657,24.804339121,72.008357273,27572,38290,27471
"600","Kanton Obwalden","6","Obwalden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5268,13662,27.828843106,71.524133343,19353,27058,18930
"700","Kanton Nidwalden","7","Nidwalden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6233,15125,29.183444143,68.394453394,21653,31659,21358
"800","Kanton Glarus","8","Glarus",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6391,9310,40.704413732,59.465763732,15806,26580,15701
"900","Kanton Zug","9","Zug",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",20267,32145,38.668625506,67.464445868,52656,78050,52412
"1001","District de la Broye","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3552,10645,25.019370289,66.295663418,14355,21653,14197
"1002","District de la Glâne","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2126,8607,19.808068574,69.162153552,10855,15695,10733
"1003","District de la Gruyère","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5433,15522,25.926986399,62.508114488,21184,33890,20955
"1004","District de la Sarine","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",13380,24153,35.648629206,60.962566845,38076,62458,37533
"1005","Bezirk See / District du Lac","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5871,9694,37.719241889,65.226440226,15670,24024,15565
"1006","Bezirk Sense","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",7083,13218,34.889906901,61.964980545,20384,32896,20301
"1007","District de la Veveyse","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1757,6026,22.574842606,64.710234279,7872,12165,7783
"9100","FR-CH de l'étranger","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1147,967,54.257332072,30.188413948,2147,7112,2114
"1101","Bezirk Gäu","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2431,5574,30.368519675,58.673283223,8040,13703,8005
"1102","Bezirk Thal","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1825,4641,28.224559233,64.563878403,6499,10066,6466
