"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"17","St. Gallen","17","St. Gallen",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",108448,83565,56.4795092,59.45030201,194585,327307,192013
"18","Graubünden / Grigioni / Grischun","18","Graubünden / Grigioni / Grischun",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",47764,33495,58.779950529,59.290584888,83560,140933,81259
"19","Aargau","19","Aargau",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",144682,107791,57.305929743,58.795272063,255927,435285,252473
"20","Thurgau","20","Thurgau",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",57055,46856,54.907565128,61.141884222,107732,176200,103911
"21","Ticino","21","Ticino",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",60392,44963,57.322386218,48.603911194,108760,223768,105355
"22","Vaud","22","Vaud",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",151459,105972,58.834794566,57.727328043,265645,460172,257431
"23","Valais / Wallis","23","Valais / Wallis",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",83737,45147,64.97082648,59.292533756,135822,229071,128884
"24","Neuchâtel","24","Neuchâtel",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",36764,22575,61.955880618,53.841399891,60984,113266,59339
"25","Genève","25","Genève",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",74523,58605,55.978456824,50.843012641,137841,271111,133128
"26","Jura","26","Jura",6450,"Loi fédérale sur les mesures policières de lutte contre le terrorisme (MPT)",18569,11892,60.959915958,58.347526659,31517,54016,30461
